time_week,conc_ugmL
0.0101, 0.0001
0.3289, 0.0033
0.7089, 0.0039
0.8033, 0.0038
1.7676, 0.0232
2.4837, 4.4852
3.0488, 3.5774
3.4353, 7.9760
3.8120, 6.7664
4.2893, 10.4197
5.0448, 9.4019
5.4267, 13.3352
6.1814, 11.0826
6.2789, 14.7789
7.1287, 12.7980
7.4145, 15.7191
8.0755, 14.1836
8.3611, 17.0664
8.9273, 15.0859
9.4018, 17.7828
10.1572, 15.7191
10.3480, 18.5292
10.9142, 16.3789
11.3888, 19.3070
11.9550, 17.0664
12.4293, 19.7080
14.1270, 12.5376
14.4133, 16.0456
16.1121, 11.3128
16.4931, 14.7789
18.0973, 10.4197
18.3838, 13.6122
20.0824, 9.4019
20.2747, 12.7980
22.1626, 9.0231
22.3554, 12.7980
24.0537, 8.6596
24.3412, 12.5376
26.0396, 8.4834
26.3273, 12.5376
28.1203, 8.4834
28.4078, 12.2825
29.9172, 8.4834
30.2993, 12.2825
31.9977, 8.3108
32.2854, 12.2825
34.0785, 8.4834
34.3661, 12.2825
36.0642, 8.1417
36.0642, 8.1417
36.3522, 12.2825
40.0328, 5.7402
40.4168, 10.0000
42.7753, 5.6234
