time_week,conc_ugmL
0.3001, 0.0002
0.9681, 0.0003
1.3634, 0.0016
1.6490, 0.0018
2.0276, 0.0018
2.0406, 0.0063
2.4578, 0.2621
2.8402, 0.3713
3.0285, 0.3352
3.5189, 1.7236
4.0842, 1.2944
4.4711, 2.8177
5.0349, 1.8336
5.4200, 3.3886
6.1741, 2.3933
6.4633, 3.9118
7.1233, 2.9377
7.4116, 4.4242
8.0718, 3.3913
8.4543, 4.8031
9.1140, 3.5341
9.4020, 5.1087
10.0620, 3.8367
10.4442, 5.3239
11.1044, 4.0809
11.4864, 5.5480
12.0521, 4.3406
12.4339, 5.7815
14.2241, 2.3505
14.4206, 4.7143
16.1167, 2.0379
16.5038, 4.5280
18.1052, 1.9574
18.4924, 4.4389
20.0934, 1.8419
20.3862, 4.2633
22.1770, 1.8431
22.4697, 4.2660
23.9767, 1.8822
24.4586, 4.2686
26.2490, 1.7713
26.4475, 4.2711
28.2379, 1.7724
28.5308, 4.1872
30.0380, 1.8856
30.4250, 4.1896
32.1215, 1.8868
32.5084, 4.1073
34.1106, 1.9270
34.4025, 4.1096
36.0990, 1.8508
36.5808, 4.1123
39.9703, 0.5890
